,upper_salary,lower_salary,state,city,Job Title,Company Rating,company_name,tot_employment_in_state,Annual mean wage(2),Annual median wage(2),range_avg_to_mean_ratio,range_avg_to_median_ratio,labels,total_new_post_rat
0,84000.0,57000.0,WI,Onalaska,Associate Stop Loss Underwriter,2.7,The Insurance Center,3090.0,105250.0,101850.0,0.669833729216152,0.6921944035346097,midwest,0.001941747572815534
1,148165.49199084667,104355.33180778033,WI,Eau Claire,Marketing Advertising Analyst,3.0,"Net Health Shops, LLC",3090.0,105250.0,101850.0,1.1996238660267315,1.2396702199245313,midwest,0.001941747572815534
2,160000.0,135000.0,WI,Madison,Manager - IT Infrastructure Engineering,3.9,UW Credit Union,3090.0,105250.0,101850.0,1.4014251781472684,1.448208149239077,midwest,0.001941747572815534
3,84000.0,59000.0,WI,Wausau,Associate Stop Loss Underwriter,2.7,The Insurance Center,3090.0,105250.0,101850.0,0.6793349168646081,0.7020127638684339,midwest,0.001941747572815534
4,87000.0,58000.0,WI,New Berlin,"Supply Chain Data Analyst (Day Shift) - New Berlin, WI #347106",3.5,DB SCHENKER,3090.0,105250.0,101850.0,0.6888361045130641,0.7118311242022582,midwest,0.001941747572815534
5,100000.0,100000.0,WI,Milwaukee,Senior Data Scientist - Reinforcement Learning (RLHF),3.9,Northwestern Mutual,3090.0,105250.0,101850.0,0.9501187648456056,0.9818360333824252,midwest,0.001941747572815534
6,157000.0,106000.0,KS,Wichita,Manager of Data Science,3.4,"Nuvative, Inc.",3771.764705882353,107000.0,101610.0,1.2289719626168225,1.2941639602401338,midwest,0.0002651278852152214
7,141000.0,105000.0,TN,Nashville,Senior Data Product Manager,4.2,ProviderTrust,2090.0,97710.0,92400.0,1.2588271415412955,1.3311688311688312,south,0.0023923444976076554
8,148165.49199084667,104355.33180778033,TN,Memphis,Marketing Analyst,3.8123006833712982,"Redwood Services, LLC.",2090.0,97710.0,92400.0,1.2921953935043855,1.3664546742349946,south,0.0023923444976076554
9,155000.0,86000.0,TN,Memphis,Computational Engineer (Level II or Senior),4.5,St. Jude Children's Research Hospital,2090.0,97710.0,92400.0,1.2332412240302937,1.3041125541125542,south,0.0023923444976076554
10,78000.0,73000.0,TN,Nashville,Employee Relations Manager,1.0,Esquire Law Services,2090.0,97710.0,92400.0,0.7726947088322588,0.8170995670995671,south,0.0023923444976076554
11,132000.0,112000.0,TN,Franklin,Data Science Engineer - Remote,3.6,Pager,2090.0,97710.0,92400.0,1.248592774536895,1.3203463203463204,south,0.0023923444976076554
12,113000.0,90000.0,OR,Portland,Oncology Nurse Navigator,3.6,Inizio Engage,2640.0,124480.0,114910.0,0.815392030848329,0.8832999738926116,west,0.0007575757575757576
13,95000.0,95000.0,OR,Myrtle Point,Senior Clinical Informatics Analyst,3.8,SCA Health,2640.0,124480.0,114910.0,0.7631748071979434,0.8267339657122966,west,0.0007575757575757576
14,148000.0,89000.0,PA,Pittsburgh,Head of Artificial Intelligence – Americas Region,3.6,Covestro,7490.0,102370.0,97260.0,1.157565693074143,1.2183837137569402,east,0.0020026702269692926
15,148165.49199084667,104355.33180778033,PA,Pittsburgh,Software Measurement and Estimation Analyst,3.8123006833712982,Carnegie Mellon University Software Engineering Institute,7490.0,102370.0,97260.0,1.233373174751524,1.298174089032629,east,0.0020026702269692926
16,46000.0,40000.0,PA,Chester,Violence Prevention Data Coordinator,3.8123006833712982,Chester Community Coalition,7490.0,102370.0,97260.0,0.4200449350395623,0.442113921447666,east,0.0020026702269692926
17,111000.0,61000.0,PA,Pittsburgh,Senior Research Scientist - Adversarial Machine Learning,4.4,Carnegie Mellon University,7490.0,102370.0,97260.0,0.8400898700791247,0.8842278428953321,east,0.0020026702269692926
20,95000.0,95000.0,PA,Spring House,Postdoctoral Scientist - Data Science (Digital Measurement),4.2,Johnson & Johnson,7490.0,102370.0,97260.0,0.9280062518315912,0.9767633148262388,east,0.0020026702269692926
21,100000.0,61000.0,PA,Pittsburgh,Clinical Educator,3.6,Inizio Engage,7490.0,102370.0,97260.0,0.7863631923415063,0.8276783878264445,east,0.0020026702269692926
22,182000.0,145000.0,PA,Malvern,"Head of Data Science & Machine Learning, Personal Investor",3.7,Vanguard,7490.0,102370.0,97260.0,1.5971476018364756,1.6810610734114744,east,0.0020026702269692926
23,117000.0,86000.0,PA,Philadelphia,Sr. Reporting and Analytics Specialist,3.9,Veolia NA,7490.0,102370.0,97260.0,0.9915014164305948,1.0435944889985609,east,0.0020026702269692926
24,78000.0,51000.0,PA,Radnor,"Senior Analyst, eCommerce Search",3.4,Airgas,7490.0,102370.0,97260.0,0.6300674025593436,0.6631708821714991,east,0.0020026702269692926
25,148165.49199084667,104355.33180778033,PA,Philadelphia,"Director, Data Science",3.8,Comcast Corporation,7490.0,102370.0,97260.0,1.233373174751524,1.298174089032629,east,0.0020026702269692926
26,98000.0,53000.0,PA,Philadelphia,"Medical Science Liaison, Endocrinology/Rare Disease",3.6,Inizio Engage,7490.0,102370.0,97260.0,0.7375207580345804,0.7762697923092741,east,0.0020026702269692926
27,137000.0,103000.0,PA,Malvern,FinTech Data Scientist,3.7,Vanguard,7490.0,102370.0,97260.0,1.1722184233662205,1.2338062924120914,east,0.0020026702269692926
28,130000.0,90000.0,PA,Lancaster,Inventory Management Data Scientist,4.3,Clark Associates,7490.0,102370.0,97260.0,1.074533554752369,1.1309891013777504,east,0.0020026702269692926
29,58240.0,45760.0,AL,Tuscaloosa,"Data Center Services Technician - IT, Crypto Mining",3.8123006833712982,Growler Mining,1120.0,99040.0,100560.0,0.5250403877221325,0.5171042163882259,south,0.008035714285714287
30,85000.0,85000.0,AL,Huntsville,Senior Data Analyst,4.0,PCI Government Services,1120.0,99040.0,100560.0,0.8582390953150242,0.845266507557677,south,0.008035714285714287
35,137000.0,85000.0,AL,Huntsville,Data Scientist,3.8,"CODE Plus, Inc.",1120.0,99040.0,100560.0,1.1207592891760905,1.10381861575179,south,0.008035714285714287
37,41600.0,41600.0,AL,Selma,Field Data Collector (PPC),3.9,Mathematica Policy Research,1120.0,99040.0,100560.0,0.420032310177706,0.4136833731105807,south,0.008035714285714287
38,80000.0,58000.0,ND,Ellendale,Data Center Construction Coordinator,3.8123006833712982,Applied Digital,240.0,102410.0,113620.0,0.6737623278976662,0.6072874493927125,midwest,0.004166666666666667
